name,mana_cost,card_type,power,card_text,artist,collection,lowPrice,highPrice,front_image,back_image
Meteorite,{5},Artifact,-,"When Meteorite enters the battlefield, it deals 2 damage to any target. {T}: Add one mana of any color.",Scott Murphy,Core Set 2021,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/e/c/ec3a2c95-4e7a-43c5-90bd-6f1de7c82a5c.png?1594737513,-
Palladium Myr,{3},Artifact Creature — Myr,2/2,{T}: Add {C}{C}.,Alan Pollack,Core Set 2021,0.4,0.4,https://c1.scryfall.com/file/scryfall-cards/png/front/2/7/27305aad-f1bd-4895-8611-143bc0250bee.png?1594737522,-
Prismite,{2},Artifact Creature — Golem,2/1,{2}: Add one mana of any color.,Alayna Danner,Core Set 2021,0.01,0.01,https://c1.scryfall.com/file/scryfall-cards/png/front/e/e/eedce8ab-771a-4247-9504-72ae0629df83.png?1594737532,-
Short Sword,{1},Artifact — Equipment,-,Equipped creature gets +1/+1. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.),John Severin Brassell,Core Set 2021,0.01,0.01,https://c1.scryfall.com/file/scryfall-cards/png/front/9/7/973c166e-3e93-4ed5-b4c5-84dc158a8e4f.png?1594737540,-
Silent Dart,{1},Artifact,-,"{4}, {T}, Sacrifice Silent Dart: It deals 3 damage to target creature.",Yeong-Hao Han,Core Set 2021,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/4/e/4e12530d-5509-46f1-8273-dce2c1f60965.png?1594737548,-
Skyscanner,{3},Artifact Creature — Thopter,1/1,"Flying When Skyscanner enters the battlefield, draw a card.",Adam Paquette,Core Set 2021,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/c/a/cab69fbd-0179-4b02-adba-71d2a0eeea5c.png?1594737556,-
Solemn Simulacrum,{4},Artifact Creature — Golem,2/2,"When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. When Solemn Simulacrum dies, you may draw a card.",Donato Giancola,Core Set 2021,0.99,0.99,https://c1.scryfall.com/file/scryfall-cards/png/front/7/b/7bbd2cab-538e-4932-a828-150e3e9d52ad.png?1594737564,-
Sparkhunter Masticore,{3},Artifact Creature — Masticore,3/4,"As an additional cost to cast this spell, discard a card. Protection from planeswalkers {1}: Sparkhunter Masticore deals 1 damage to target planeswalker. {3}: Sparkhunter Masticore gains indestructible until end of turn.",Randy Vargas,Core Set 2021,0.15,0.15,https://c1.scryfall.com/file/scryfall-cards/png/front/a/d/ad357ed4-b4f2-45b5-b7c4-3c6013a4ea3d.png?1594737574,-
Tormod's Crypt,{0},Artifact,-,"{T}, Sacrifice Tormod's Crypt: Exile all cards from target player's graveyard.",Lars Grant-West,Core Set 2021,0.27,0.27,https://c1.scryfall.com/file/scryfall-cards/png/front/9/c/9c224bf0-5641-4160-9d5c-46141ea8372a.png?1594737584,-
Animal Sanctuary,-,Land,-,"{T}: Add {C}. {2}, {T}: Put a +1/+1 counter on target Bird, Cat, Dog, Goat, Ox, or Snake.",Alayna Danner,Core Set 2021,0.62,0.62,https://c1.scryfall.com/file/scryfall-cards/png/front/f/8/f8d7a2c7-666d-4fc6-bac8-ef8eb66e355d.png?1594737594,-
Bloodfell Caves,-,Land,-,"Bloodfell Caves enters the battlefield tapped. When Bloodfell Caves enters the battlefield, you gain 1 life. {T}: Add {B} or {R}.",Adam Paquette,Core Set 2021,0.11,0.11,https://c1.scryfall.com/file/scryfall-cards/png/front/5/d/5d89a0e2-1163-4a11-b0df-deef2e6c8108.png?1594737607,-
Blossoming Sands,-,Land,-,"Blossoming Sands enters the battlefield tapped. When Blossoming Sands enters the battlefield, you gain 1 life. {T}: Add {G} or {W}.",Sam Burley,Core Set 2021,0.11,0.11,https://c1.scryfall.com/file/scryfall-cards/png/front/c/8/c8483586-9a07-4f54-a390-7dd97fcea5cb.png?1594737617,-
Dismal Backwater,-,Land,-,"Dismal Backwater enters the battlefield tapped. When Dismal Backwater enters the battlefield, you gain 1 life. {T}: Add {U} or {B}.",Sam Burley,Core Set 2021,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/b/3/b3b1afa0-9bb5-4566-a85e-86a5c03e0187.png?1594737627,-
Fabled Passage,-,Land,-,"{T}, Sacrifice Fabled Passage: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.",Howard Lyon,Core Set 2021,4.65,4.65,https://c1.scryfall.com/file/scryfall-cards/png/front/d/3/d313d051-7295-4884-8cbf-f2f835fd45f4.png?1594737636,-
Jungle Hollow,-,Land,-,"Jungle Hollow enters the battlefield tapped. When Jungle Hollow enters the battlefield, you gain 1 life. {T}: Add {B} or {G}.",Eytan Zana,Core Set 2021,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/6/9/69f28d7a-6480-4725-9719-2354921e6410.png?1594737643,-
Radiant Fountain,-,Land,-,"When Radiant Fountain enters the battlefield, you gain 2 life. {T}: Add {C}.",Adam Paquette,Core Set 2021,0.12,0.12,https://c1.scryfall.com/file/scryfall-cards/png/front/0/2/0296c34b-120b-483e-8b49-6d432c04f9a4.png?1594737654,-
Rugged Highlands,-,Land,-,"Rugged Highlands enters the battlefield tapped. When Rugged Highlands enters the battlefield, you gain 1 life. {T}: Add {R} or {G}.",Eytan Zana,Core Set 2021,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/9/d/9daef8db-56a5-4b1e-b4bf-734d0516557c.png?1594737663,-
Scoured Barrens,-,Land,-,"Scoured Barrens enters the battlefield tapped. When Scoured Barrens enters the battlefield, you gain 1 life. {T}: Add {W} or {B}.",Eytan Zana,Core Set 2021,0.11,0.11,https://c1.scryfall.com/file/scryfall-cards/png/front/f/e/feb3d45c-a28c-49d2-ab79-53ab42c7fdfd.png?1594737673,-
Swiftwater Cliffs,-,Land,-,"Swiftwater Cliffs enters the battlefield tapped. When Swiftwater Cliffs enters the battlefield, you gain 1 life. {T}: Add {U} or {R}.",Eytan Zana,Core Set 2021,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/e/6/e649fc68-fca5-4234-aff4-0ec2382a66d4.png?1594737682,-
Temple of Epiphany,-,Land,-,"Temple of Epiphany enters the battlefield tapped. When Temple of Epiphany enters the battlefield, scry 1. {T}: Add {U} or {R}.",Adam Paquette,Core Set 2021,0.42,0.42,https://c1.scryfall.com/file/scryfall-cards/png/front/1/6/1652bb3c-c365-4046-b07e-3d861fa324c6.png?1594737690,-
Temple of Malady,-,Land,-,"Temple of Malady enters the battlefield tapped. When Temple of Malady enters the battlefield, scry 1. {T}: Add {B} or {G}.",Titus Lunter,Core Set 2021,0.43,0.43,https://c1.scryfall.com/file/scryfall-cards/png/front/c/9/c97929f8-ae80-4b4a-9d9b-2f3c7605edc8.png?1594737701,-
Temple of Mystery,-,Land,-,"Temple of Mystery enters the battlefield tapped. When Temple of Mystery enters the battlefield, scry 1. {T}: Add {G} or {U}.",Piotr Dura,Core Set 2021,0.33,0.33,https://c1.scryfall.com/file/scryfall-cards/png/front/8/1/81634185-eb67-4d13-8b82-a662b8c9a7f0.png?1594737710,-
Temple of Silence,-,Land,-,"Temple of Silence enters the battlefield tapped. When Temple of Silence enters the battlefield, scry 1. {T}: Add {W} or {B}.",Adam Paquette,Core Set 2021,0.58,0.58,https://c1.scryfall.com/file/scryfall-cards/png/front/0/f/0f5b0f0a-dc16-45e2-91ab-28e0b9f66d00.png?1594737718,-
Temple of Triumph,-,Land,-,"Temple of Triumph enters the battlefield tapped. When Temple of Triumph enters the battlefield, scry 1. {T}: Add {R} or {W}.",Piotr Dura,Core Set 2021,0.39,0.39,https://c1.scryfall.com/file/scryfall-cards/png/front/2/3/2366499c-9d07-46bb-8488-6cd60056fa16.png?1594737727,-
Thornwood Falls,-,Land,-,"Thornwood Falls enters the battlefield tapped. When Thornwood Falls enters the battlefield, you gain 1 life. {T}: Add {G} or {U}.",Eytan Zana,Core Set 2021,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/f/8/f82851a5-5f70-488a-b21c-bdd65d2fca7c.png?1594737738,-
Tranquil Cove,-,Land,-,"Tranquil Cove enters the battlefield tapped. When Tranquil Cove enters the battlefield, you gain 1 life. {T}: Add {W} or {U}.",John Avon,Core Set 2021,0.12,0.12,https://c1.scryfall.com/file/scryfall-cards/png/front/0/f/0fee9b4b-1510-4b78-bdde-2e0bb319ee33.png?1594737751,-
Wind-Scarred Crag,-,Land,-,"Wind-Scarred Crag enters the battlefield tapped. When Wind-Scarred Crag enters the battlefield, you gain 1 life. {T}: Add {R} or {W}.",Eytan Zana,Core Set 2021,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/5/6/56d7428b-25a7-4185-8c3e-69017bd1ba6d.png?1594737759,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),John Avon,Core Set 2021,0.17,0.17,https://c1.scryfall.com/file/scryfall-cards/png/front/4/b/4be96696-aff8-4ef9-97dc-8221ef745de9.png?1594737767,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Nils Hamm,Core Set 2021,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/0/d/0d4e5bc1-f0c3-4ea7-a549-c36d932103b1.png?1594737777,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Andreas Rocha,Core Set 2021,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/8/a/8a299a1e-1ce9-4668-a5f5-c587081acf6b.png?1594737787,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Cliff Childs,Core Set 2021,0.29,0.29,https://c1.scryfall.com/file/scryfall-cards/png/front/f/c/fc9a66a1-367c-4035-a22e-00fab55be5a0.png?1594737796,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Jonas De Ro,Core Set 2021,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/0/1/017fb3fc-433e-4853-bbac-99fa04b40233.png?1594737804,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Andreas Rocha,Core Set 2021,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/0/6/0600d6d5-f6a1-47c3-a898-733fab10bbf5.png?1594737812,-
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Mike Bierek,Core Set 2021,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/3/0/30b3d647-3546-4ade-b395-f2370750a7a6.png?1594737824,-
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Cliff Childs,Core Set 2021,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/b/e/be68e315-ffef-40a8-8a46-1c042b148c03.png?1594737832,-
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Christine Choi,Core Set 2021,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/0/8/0863a079-1cc2-4388-85bb-a24eae251e99.png?1594737840,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Cliff Childs,Core Set 2021,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/b/9/b92c8925-ecfc-4ece-b83a-f12e98a938ab.png?1594737848,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Jonas De Ro,Core Set 2021,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/7/0/70ff4fd5-c26f-4274-b899-1f995d4d8c25.png?1594737856,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Andreas Rocha,Core Set 2021,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/e/d/ed6fd37e-a5b3-48c6-b881-cedadfd94833.png?1594737865,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Volkan Baǵa,Core Set 2021,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/3/2/3279314f-d639-4489-b2ab-3621bb3ca64b.png?1594737877,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Steven Belledin,Core Set 2021,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/a/4/a4df3e89-610c-4f42-a93a-e694342307cc.png?1594737893,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Jonas De Ro,Core Set 2021,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/d/4/d4558304-7c17-4aa0-bd50-cdd95547f1a7.png?1594737909,-
"Teferi, Master of Time",{2}{U}{U},Legendary Planeswalker — Teferi,3,"You may activate loyalty abilities of Teferi, Master of Time on any player's turn any time you could cast an instant. +1: Draw a card, then discard a card. −3: Target creature you don't control phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.) −10: Take two extra turns after this one.",Yongjae Choi,Core Set 2021,8.81,8.81,https://c1.scryfall.com/file/scryfall-cards/png/front/2/d/2d1ff397-2445-459a-ae4e-7bf1cd48f490.png?1594737929,-
"Teferi, Master of Time",{2}{U}{U},Legendary Planeswalker — Teferi,3,"You may activate loyalty abilities of Teferi, Master of Time on any player's turn any time you could cast an instant. +1: Draw a card, then discard a card. −3: Target creature you don't control phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.) −10: Take two extra turns after this one.",Yongjae Choi,Core Set 2021,8.77,8.77,https://c1.scryfall.com/file/scryfall-cards/png/front/a/8/a8bf5708-4222-46d2-b108-0ed4cf3c83c3.png?1594737945,-
"Teferi, Master of Time",{2}{U}{U},Legendary Planeswalker — Teferi,3,"You may activate loyalty abilities of Teferi, Master of Time on any player's turn any time you could cast an instant. +1: Draw a card, then discard a card. −3: Target creature you don't control phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.) −10: Take two extra turns after this one.",Yongjae Choi,Core Set 2021,8.48,8.48,https://c1.scryfall.com/file/scryfall-cards/png/front/d/4/d4949a0b-e320-470a-ba54-07ac75b0053b.png?1594737958,-
"Rin and Seri, Inseparable",{1}{R}{G}{W},Legendary Creature — Dog Cat,4/4,"Whenever you cast a Dog spell, create a 1/1 green Cat creature token. Whenever you cast a Cat spell, create a 1/1 white Dog creature token. {R}{G}{W}, {T}: Rin and Seri, Inseparable deals damage to any target equal to the number of Dogs you control. You gain life equal to the number of Cats you control.",Leesha Hannigan,Core Set 2021,10.31,10.31,https://c1.scryfall.com/file/scryfall-cards/png/front/d/6/d605c780-a42a-4816-8fb9-63e3114a8246.png?1617532706,-
"Ugin, the Spirit Dragon",{8},Legendary Planeswalker — Ugin,7,"+2: Ugin, the Spirit Dragon deals 3 damage to any target. −X: Exile each permanent with mana value X or less that's one or more colors. −10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.",Ryan Pancoast,Core Set 2021,34.0,34.0,https://c1.scryfall.com/file/scryfall-cards/png/front/1/b/1bacda35-bb91-4537-a14d-846650fa85f6.png?1594157535,-
Basri Ket,{1}{W}{W},Legendary Planeswalker — Basri,3,"+1: Put a +1/+1 counter on up to one target creature. It gains indestructible until end of turn. −2: Whenever one or more nontoken creatures attack this turn, create that many 1/1 white Soldier creature tokens that are tapped and attacking. −6: You get an emblem with ""At the beginning of combat on your turn, create a 1/1 white Soldier creature token, then put a +1/+1 counter on each creature you control.""",Jehan Choo,Core Set 2021,2.68,2.68,https://c1.scryfall.com/file/scryfall-cards/png/front/e/d/ed3906ea-df06-4299-a305-32e6ef476507.png?1594157536,-
"Teferi, Master of Time",{2}{U}{U},Legendary Planeswalker — Teferi,3,"You may activate loyalty abilities of Teferi, Master of Time on any player's turn any time you could cast an instant. +1: Draw a card, then discard a card. −3: Target creature you don't control phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.) −10: Take two extra turns after this one.",Chris Rallis,Core Set 2021,12.27,12.27,https://c1.scryfall.com/file/scryfall-cards/png/front/b/a/ba95c4fc-f0fc-4bfe-bef7-694c3d82a6c7.png?1594157538,-
"Liliana, Waker of the Dead",{2}{B}{B},Legendary Planeswalker — Liliana,4,"+1: Each player discards a card. Each opponent who can't loses 3 life. −3: Target creature gets -X/-X until end of turn, where X is the number of cards in your graveyard. −7: You get an emblem with ""At the beginning of combat on your turn, put target creature card from a graveyard onto the battlefield under your control. It gains haste.""",Magali Villeneuve,Core Set 2021,12.52,12.52,https://c1.scryfall.com/file/scryfall-cards/png/front/a/2/a2edac86-02d4-4201-9b72-2ec64f163a72.png?1594157541,-
"Chandra, Heart of Fire",{3}{R}{R},Legendary Planeswalker — Chandra,5,"+1: Discard your hand, then exile the top three cards of your library. Until end of turn, you may play cards exiled this way. +1: Chandra, Heart of Fire deals 2 damage to any target. −9: Search your graveyard and library for any number of red instant and/or sorcery cards, exile them, then shuffle. You may cast them this turn. Add six {R}.",Jason Rainville,Core Set 2021,1.58,1.58,https://c1.scryfall.com/file/scryfall-cards/png/front/1/e/1e494793-ec53-46dc-a5db-90dadc8cc015.png?1594157543,-
"Garruk, Unleashed",{2}{G}{G},Legendary Planeswalker — Garruk,4,"+1: Up to one target creature gets +3/+3 and gains trample until end of turn. −2: Create a 3/3 green Beast creature token. Then if an opponent controls more creatures than you, put a loyalty counter on Garruk, Unleashed. −7: You get an emblem with ""At the beginning of your end step, you may search your library for a creature card, put it onto the battlefield, then shuffle.""",Cristi Balanescu,Core Set 2021,2.82,2.82,https://c1.scryfall.com/file/scryfall-cards/png/front/b/d/bd16e1a6-0ece-44d5-8221-25892178e927.png?1594157545,-
"Ugin, the Spirit Dragon",{8},Legendary Planeswalker — Ugin,7,"+2: Ugin, the Spirit Dragon deals 3 damage to any target. −X: Exile each permanent with mana value X or less that's one or more colors. −10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.",Raymond Swanland,Core Set 2021,28.58,28.58,https://c1.scryfall.com/file/scryfall-cards/png/front/a/1/a11e75a0-17f0-429a-a77a-268fe6257010.png?1594159764,-
Basri Ket,{1}{W}{W},Legendary Planeswalker — Basri,3,"+1: Put a +1/+1 counter on up to one target creature. It gains indestructible until end of turn. −2: Whenever one or more nontoken creatures attack this turn, create that many 1/1 white Soldier creature tokens that are tapped and attacking. −6: You get an emblem with ""At the beginning of combat on your turn, create a 1/1 white Soldier creature token, then put a +1/+1 counter on each creature you control.""",Kieran Yanner,Core Set 2021,1.56,1.56,https://c1.scryfall.com/file/scryfall-cards/png/front/c/a/ca854101-5a9b-455d-bf47-ad8f3d57afa7.png?1594162748,-
Basri's Acolyte,{2}{W}{W},Creature — Cat Cleric,2/3,"Lifelink (Damage dealt by this creature also causes you to gain that much life.) When Basri's Acolyte enters the battlefield, put a +1/+1 counter on each of up to two other target creatures you control.",Leesha Hannigan,Core Set 2021,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/1/f/1f6e3c8d-66c2-4e9d-a7c2-290b5695eec2.png?1594251492,-
Basri's Lieutenant,{3}{W},Creature — Human Knight,3/4,"Vigilance, protection from multicolored When Basri's Lieutenant enters the battlefield, put a +1/+1 counter on target creature you control. Whenever Basri's Lieutenant or another creature you control dies, if it had a +1/+1 counter on it, create a 2/2 white Knight creature token with vigilance.",Matt Stewart,Core Set 2021,0.3,0.3,https://c1.scryfall.com/file/scryfall-cards/png/front/2/6/26439775-7880-4e12-81eb-92185daca3fd.png?1594251494,-
Basri's Solidarity,{1}{W},Sorcery,-,Put a +1/+1 counter on each creature you control.,Paul Scott Canavan,Core Set 2021,0.13,0.13,https://c1.scryfall.com/file/scryfall-cards/png/front/a/a/aa6daf0d-d581-434e-9b5f-cea1e7fd7967.png?1594251496,-
"Teferi, Master of Time",{2}{U}{U},Legendary Planeswalker — Teferi,3,"You may activate loyalty abilities of Teferi, Master of Time on any player's turn any time you could cast an instant. +1: Draw a card, then discard a card. −3: Target creature you don't control phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.) −10: Take two extra turns after this one.",Yongjae Choi,Core Set 2021,9.41,9.41,https://c1.scryfall.com/file/scryfall-cards/png/front/f/8/f802369f-bd9f-4c2f-835b-b0b9c1ea61a7.png?1595540125,-
"Teferi, Master of Time",{2}{U}{U},Legendary Planeswalker — Teferi,3,"You may activate loyalty abilities of Teferi, Master of Time on any player's turn any time you could cast an instant. +1: Draw a card, then discard a card. −3: Target creature you don't control phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.) −10: Take two extra turns after this one.",Yongjae Choi,Core Set 2021,9.6,9.6,https://c1.scryfall.com/file/scryfall-cards/png/front/c/0/c0ba42c9-480c-4236-b217-01910e51b290.png?1595540132,-
"Teferi, Master of Time",{2}{U}{U},Legendary Planeswalker — Teferi,3,"You may activate loyalty abilities of Teferi, Master of Time on any player's turn any time you could cast an instant. +1: Draw a card, then discard a card. −3: Target creature you don't control phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.) −10: Take two extra turns after this one.",Yongjae Choi,Core Set 2021,10.36,10.36,https://c1.scryfall.com/file/scryfall-cards/png/front/2/0/20a271b3-c3a9-47c6-bc8b-b580ede1968b.png?1595540139,-
"Teferi, Master of Time",{2}{U}{U},Legendary Planeswalker — Teferi,3,"You may activate loyalty abilities of Teferi, Master of Time on any player's turn any time you could cast an instant. +1: Draw a card, then discard a card. −3: Target creature you don't control phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.) −10: Take two extra turns after this one.",Yongjae Choi,Core Set 2021,9.55,9.55,https://c1.scryfall.com/file/scryfall-cards/png/front/a/8/a8fda4c0-d576-40e5-8e26-fc212c09691f.png?1595540149,-
Teferi's Ageless Insight,{2}{U}{U},Legendary Enchantment,-,"If you would draw a card except the first one you draw in each of your draw steps, draw two cards instead.",Kieran Yanner,Core Set 2021,1.63,1.63,https://c1.scryfall.com/file/scryfall-cards/png/front/2/c/2c5a3d8f-5513-42b1-a3d7-09cf781eaf94.png?1594265700,-
Teferi's Protege,{2}{U},Creature — Human Wizard,2/3,"{1}{U}, {T}: Draw a card, then discard a card.",Bram Sels,Core Set 2021,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/7/2/72d63891-366b-473e-85c6-53886e26ca7a.png?1594265703,-
Teferi's Tutelage,{2}{U},Enchantment,-,"When Teferi's Tutelage enters the battlefield, draw a card, then discard a card. Whenever you draw a card, target opponent mills two cards. (They put the top two cards of their library into their graveyard.)",Ilse Gort,Core Set 2021,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/a/e/aefc721d-7c0b-4b3a-8131-f466bf3e7949.png?1594265704,-
"Liliana, Waker of the Dead",{2}{B}{B},Legendary Planeswalker — Liliana,4,"+1: Each player discards a card. Each opponent who can't loses 3 life. −3: Target creature gets -X/-X until end of turn, where X is the number of cards in your graveyard. −7: You get an emblem with ""At the beginning of combat on your turn, put target creature card from a graveyard onto the battlefield under your control. It gains haste.""",Anna Steinbauer,Core Set 2021,4.92,4.92,https://c1.scryfall.com/file/scryfall-cards/png/front/e/8/e8dd3fda-d778-4be6-abd4-6cf704e352ea.png?1594168504,-
Liliana's Devotee,{2}{B},Creature — Human Warlock,2/3,"Zombies you control get +1/+0. At the beginning of your end step, if a creature died this turn, you may pay {1}{B}. If you do, create a 2/2 black Zombie creature token.",Colin Boyer,Core Set 2021,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/6/8/68d242d3-a817-4cdb-a51e-5f8202233743.png?1594252463,-
Liliana's Standard Bearer,{2}{B},Creature — Zombie Knight,3/1,"Flash When Liliana's Standard Bearer enters the battlefield, draw X cards, where X is the number of creatures that died under your control this turn.",Josh Hass,Core Set 2021,0.4,0.4,https://c1.scryfall.com/file/scryfall-cards/png/front/3/b/3bd1c4b4-57b3-4779-9c7c-b23e73e6a74b.png?1594252464,-
Liliana's Steward,{B},Creature — Zombie,1/2,"{T}, Sacrifice Liliana's Steward: Target opponent discards a card. Activate only as a sorcery.",Jason A. Engle,Core Set 2021,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/a/a/aa9ab339-5f1a-425d-abfd-0b65a33d5c85.png?1594252465,-
"Chandra, Heart of Fire",{3}{R}{R},Legendary Planeswalker — Chandra,5,"+1: Discard your hand, then exile the top three cards of your library. Until end of turn, you may play cards exiled this way. +1: Chandra, Heart of Fire deals 2 damage to any target. −9: Search your graveyard and library for any number of red instant and/or sorcery cards, exile them, then shuffle. You may cast them this turn. Add six {R}.",Josu Hernaiz,Core Set 2021,1.04,1.04,https://c1.scryfall.com/file/scryfall-cards/png/front/9/4/94e6a6bc-73ac-4000-967e-c37450665e03.png?1594250614,-
Chandra's Incinerator,{5}{R},Creature — Elemental,6/6,"This spell costs {X} less to cast, where X is the total amount of noncombat damage dealt to your opponents this turn. Trample Whenever a source you control deals noncombat damage to an opponent, Chandra's Incinerator deals that much damage to target creature or planeswalker that player controls.",Craig J Spearing,Core Set 2021,0.45,0.45,https://c1.scryfall.com/file/scryfall-cards/png/front/b/9/b906cdb4-6a82-4611-abde-43566f9d01eb.png?1594250615,-
Chandra's Magmutt,{1}{R},Creature — Elemental Dog,2/2,{T}: Chandra's Magmutt deals 1 damage to target player or planeswalker.,Kimonas Theodossiou,Core Set 2021,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/e/c/ec4ebe97-730c-43bb-86da-6ef0b34c104b.png?1594250616,-
Chandra's Pyreling,{1}{R},Creature — Elemental Lizard,1/3,"Whenever a source you control deals noncombat damage to an opponent, Chandra's Pyreling gets +1/+0 and gains double strike until end of turn. (It deals both first-strike and regular combat damage.)",Josu Hernaiz,Core Set 2021,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/8/b/8b807033-2273-4415-95b8-eb2dafed2967.png?1594250619,-
"Garruk, Unleashed",{2}{G}{G},Legendary Planeswalker — Garruk,4,"+1: Up to one target creature gets +3/+3 and gains trample until end of turn. −2: Create a 3/3 green Beast creature token. Then if an opponent controls more creatures than you, put a loyalty counter on Garruk, Unleashed. −7: You get an emblem with ""At the beginning of your end step, you may search your library for a creature card, put it onto the battlefield, then shuffle.""",Lie Setiawan,Core Set 2021,1.44,1.44,https://c1.scryfall.com/file/scryfall-cards/png/front/c/5/c5e92f14-776d-4fa6-b872-1acadca1e372.png?1594171949,-
Garruk's Gorehorn,{4}{G},Creature — Beast,7/3,Core Set 2021 (M21) #306,"Magic: The Gathering, MTG",Core Set 2021,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/d/d/dd5c6492-4934-4d61-85ef-3dd64677dee3.png?1594254175,-
Garruk's Harbinger,{1}{G}{G},Creature — Beast,4/3,"Hexproof from black Whenever Garruk's Harbinger deals combat damage to a player or planeswalker, look at that many cards from the top of your library. You may reveal a creature card or Garruk planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Lie Setiawan,Core Set 2021,0.23,0.23,https://c1.scryfall.com/file/scryfall-cards/png/front/6/f/6faee64c-2338-4b01-8e26-7b68539a998b.png?1594254176,-
Garruk's Uprising,{2}{G},Enchantment,-,"When Garruk's Uprising enters the battlefield, if you control a creature with power 4 or greater, draw a card. Creatures you control have trample. (They can deal excess combat damage to the player or planeswalker they're attacking.) Whenever a creature with power 4 or greater enters the battlefield under your control, draw a card.",Wisnu Tan,Core Set 2021,1.27,1.27,https://c1.scryfall.com/file/scryfall-cards/png/front/8/d/8dce84db-d331-4e5b-bdd8-9b1b3bec50cc.png?1594254177,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Jonas De Ro,Core Set 2021,0.37,0.37,https://c1.scryfall.com/file/scryfall-cards/png/front/2/f/2f6778ff-6c1c-498a-bbfa-46c35b77a72a.png?1594266485,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Jonas De Ro,Core Set 2021,0.85,0.85,https://c1.scryfall.com/file/scryfall-cards/png/front/2/4/24aa9fd2-54d9-40d9-9279-abd5bd6ff727.png?1594266490,-
